,Province_State,Date,Confirmed_Cases
167,Vermont,2020-01-24,0
168,Virgin Islands,2020-01-24,0
169,Virginia,2020-01-24,0
170,Washington,2020-01-24,1
171,West Virginia,2020-01-24,0
172,Wisconsin,2020-01-24,0
173,Wyoming,2020-01-24,0
174,Alabama,2020-01-25,0
175,Alaska,2020-01-25,0
176,American Samoa,2020-01-25,0
177,Arizona,2020-01-25,0
178,Arkansas,2020-01-25,0
179,California,2020-01-25,0
180,Colorado,2020-01-25,0
181,Connecticut,2020-01-25,0
182,Delaware,2020-01-25,0
183,Diamond Princess,2020-01-25,0
184,District of Columbia,2020-01-25,0
185,Florida,2020-01-25,0
186,Georgia,2020-01-25,0
187,Grand Princess,2020-01-25,0
188,Guam,2020-01-25,0
189,Hawaii,2020-01-25,0
190,Idaho,2020-01-25,0
191,Illinois,2020-01-25,1
192,Indiana,2020-01-25,0
193,Iowa,2020-01-25,0
194,Kansas,2020-01-25,0
195,Kentucky,2020-01-25,0
196,Louisiana,2020-01-25,0
197,Maine,2020-01-25,0
198,Maryland,2020-01-25,0
199,Massachusetts,2020-01-25,0
200,Michigan,2020-01-25,0
201,Minnesota,2020-01-25,0
202,Mississippi,2020-01-25,0
203,Missouri,2020-01-25,0
204,Montana,2020-01-25,0
205,Nebraska,2020-01-25,0
206,Nevada,2020-01-25,0
207,New Hampshire,2020-01-25,0
208,New Jersey,2020-01-25,0
209,New Mexico,2020-01-25,0
210,New York,2020-01-25,0
211,North Carolina,2020-01-25,0
212,North Dakota,2020-01-25,0
213,Northern Mariana Islands,2020-01-25,0
214,Ohio,2020-01-25,0
215,Oklahoma,2020-01-25,0
216,Oregon,2020-01-25,0
217,Pennsylvania,2020-01-25,0
218,Puerto Rico,2020-01-25,0
219,Rhode Island,2020-01-25,0
220,South Carolina,2020-01-25,0
221,South Dakota,2020-01-25,0
222,Tennessee,2020-01-25,0
223,Texas,2020-01-25,0
224,Utah,2020-01-25,0
225,Vermont,2020-01-25,0
226,Virgin Islands,2020-01-25,0
227,Virginia,2020-01-25,0
228,Washington,2020-01-25,1
229,West Virginia,2020-01-25,0
230,Wisconsin,2020-01-25,0
231,Wyoming,2020-01-25,0
232,Alabama,2020-01-26,0
233,Alaska,2020-01-26,0
234,American Samoa,2020-01-26,0
235,Arizona,2020-01-26,1
236,Arkansas,2020-01-26,0
237,California,2020-01-26,2
238,Colorado,2020-01-26,0
239,Connecticut,2020-01-26,0
240,Delaware,2020-01-26,0
241,Diamond Princess,2020-01-26,0
242,District of Columbia,2020-01-26,0
243,Florida,2020-01-26,0
244,Georgia,2020-01-26,0
245,Grand Princess,2020-01-26,0
246,Guam,2020-01-26,0
247,Hawaii,2020-01-26,0
248,Idaho,2020-01-26,0
249,Illinois,2020-01-26,1
250,Indiana,2020-01-26,0
251,Iowa,2020-01-26,0
252,Kansas,2020-01-26,0
253,Kentucky,2020-01-26,0
254,Louisiana,2020-01-26,0
255,Maine,2020-01-26,0
256,Maryland,2020-01-26,0
257,Massachusetts,2020-01-26,0
258,Michigan,2020-01-26,0
259,Minnesota,2020-01-26,0
260,Mississippi,2020-01-26,0
261,Missouri,2020-01-26,0
262,Montana,2020-01-26,0
263,Nebraska,2020-01-26,0
264,Nevada,2020-01-26,0
265,New Hampshire,2020-01-26,0
266,New Jersey,2020-01-26,0
267,New Mexico,2020-01-26,0
268,New York,2020-01-26,0
269,North Carolina,2020-01-26,0
270,North Dakota,2020-01-26,0
271,Northern Mariana Islands,2020-01-26,0
272,Ohio,2020-01-26,0
273,Oklahoma,2020-01-26,0
274,Oregon,2020-01-26,0
275,Pennsylvania,2020-01-26,0
276,Puerto Rico,2020-01-26,0
277,Rhode Island,2020-01-26,0
278,South Carolina,2020-01-26,0
279,South Dakota,2020-01-26,0
280,Tennessee,2020-01-26,0
281,Texas,2020-01-26,0
282,Utah,2020-01-26,0
283,Vermont,2020-01-26,0
284,Virgin Islands,2020-01-26,0
285,Virginia,2020-01-26,0
286,Washington,2020-01-26,1
287,West Virginia,2020-01-26,0
288,Wisconsin,2020-01-26,0
289,Wyoming,2020-01-26,0
290,Alabama,2020-01-27,0
291,Alaska,2020-01-27,0
292,American Samoa,2020-01-27,0
293,Arizona,2020-01-27,1
294,Arkansas,2020-01-27,0
295,California,2020-01-27,2
296,Colorado,2020-01-27,0
297,Connecticut,2020-01-27,0
298,Delaware,2020-01-27,0
